R2,MAE,RMSE,protocol,fold,seed,n_test,best_epoch,key,exp,model,n_train,PICP_1sigma,PICP_2sigma,sharpness_mean_sigma,ECE,MCE,NLL
0.9718235731124878,5.470983505249023,7.279275651045662,loco,13,1,463,66.0,E3|EnergyPhasePINN|loco|13|1,E3,EnergyPhasePINN,,,,,,,
0.9609437584877014,7.229474067687988,8.570185198746893,loco,13,2,463,36.0,E3|EnergyPhasePINN|loco|13|2,E3,EnergyPhasePINN,,,,,,,
0.9535959959030151,7.619449615478516,9.341629655295655,loco,13,3,463,35.0,E3|EnergyPhasePINN|loco|13|3,E3,EnergyPhasePINN,,,,,,,
0.9726341962814331,5.50789737701416,7.173797549196344,loco,13,4,463,93.0,E3|EnergyPhasePINN|loco|13|4,E3,EnergyPhasePINN,,,,,,,
0.9474121332168579,6.929991722106934,8.883317944750122,loco,14,0,462,137.0,E3|EnergyPhasePINN|loco|14|0,E3,EnergyPhasePINN,,,,,,,
0.8826485276222229,10.248939514160156,13.27017978434313,loco,14,1,462,66.0,E3|EnergyPhasePINN|loco|14|1,E3,EnergyPhasePINN,,,,,,,
0.8962956070899963,10.46646499633789,12.474729705512097,loco,14,2,462,35.0,E3|EnergyPhasePINN|loco|14|2,E3,EnergyPhasePINN,,,,,,,
0.9231059551239014,9.023651123046875,10.741843034249799,loco,14,3,462,35.0,E3|EnergyPhasePINN|loco|14|3,E3,EnergyPhasePINN,,,,,,,
0.9560439586639404,6.232987880706787,8.121603857536392,loco,14,4,462,102.0,E3|EnergyPhasePINN|loco|14|4,E3,EnergyPhasePINN,,,,,,,
0.9725914597511292,6.002760887145996,7.80083015132394,loco,15,0,583,140.0,E3|EnergyPhasePINN|loco|15|0,E3,EnergyPhasePINN,,,,,,,
0.9762669205665588,5.556972503662109,7.25896767414871,loco,15,1,583,118.0,E3|EnergyPhasePINN|loco|15|1,E3,EnergyPhasePINN,,,,,,,
0.9396247863769531,9.201066017150879,11.577834399819702,loco,15,2,583,37.0,E3|EnergyPhasePINN|loco|15|2,E3,EnergyPhasePINN,,,,,,,
0.9255287647247314,10.66819953918457,12.85855978772324,loco,15,3,583,37.0,E3|EnergyPhasePINN|loco|15|3,E3,EnergyPhasePINN,,,,,,,
0.9769808053970337,5.4243011474609375,7.148962316373456,loco,15,4,583,117.0,E3|EnergyPhasePINN|loco|15|4,E3,EnergyPhasePINN,,,,,,,
